Designation,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1000u","CP_Elec_8x10",8.000000,0.000000,180.000000,top
"G***","LOGO","DDR Arrow",34.000000,-51.000000,0.000000,top
"U2","SN74AHCT125PW","SOP65P640X120-14N",9.000000,-18.000000,180.000000,top
"U3","SN74AHCT125PW","SOP65P640X120-14N",9.000000,-31.000000,180.000000,top
